request_id,timestamp_utc,requester_role,requester_station_id,requester_district_id,requester_agency,target_case_type,target_record_type,target_station_id,target_district_id,record_sensitivity_level,victim_flag,witness_flag,juvenile_flag,evidence_media_flag,sealed_status,purpose,action,decision,primary_reason_code,required_approval,record_pointer_id,payload_hash,ciphertext_hash,explanation_hash,block_number,block_hash
REQ-000015,2026-05-27T03:30:00Z,Station House Officer,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,POLICE,FINANCIAL_CRIME,WITNESS_STATEMENT,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,MEDIUM,false,true,false,false,OPEN,INVESTIGATION,VIEW,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,sensitive_record_approval,6f7484cd18c5e905f17ff129,41ec29fef26747021bc647427353a0905c527219b4ba792b77925fc39eab5ef0,ddb36e28d4a2a99a8209317f763252779d800349fdca102065db6db1b24692f0,392ccb1844f7b549f1ab6aea044c7a5eefc3815496013f2f94b3c58373087381,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000016,2026-05-27T03:44:00Z,Sub-Inspector,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,POLICE,NARCOTICS,CASE_DIARY,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,HIGH,false,false,false,false,SEALED,TRAINING,VIEW,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,none,719deaf3afa9b090fc97ae26,6eb67e65d279085bb0022aeac9ba0f48f10a6d0d15b7bdc6b71b75c5c767ed45,90cc6b7cad5d9da9d87e01a033139ef2e6513a3c736eff808235f982644b4428,37dfe3e0842c849e03a49acde51238d43c725db817df1cf09c9a4122e0235fcf,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000017,2026-05-27T04:49:00Z,Inspector,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,POLICE,MISSING_PERSON,VICTIM_RECORD,STATE_02_DIST_02_PS_03,STATE_02_DIST_02,HIGH,true,false,false,false,OPEN,EMERGENCY_RESPONSE,UPDATE,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,cross_jurisdiction_superior_approval|sensitive_record_approval,e7983828086ee0be6477babf,677ffee087e60cdc66fbcf8a39d4adfe8780f80e3ad217922129a85435ab47f2,9ce61f30a464c9c38634d015542a7d8a43d197ec2c9c39fa23f82457b8fc1560,7c64426c6bda43abbd625fbd8ccc9c92e9838dc8ce9c76a3e358143dd770ad55,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000018,2026-05-27T00:36:00Z,Sub-Inspector,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,POLICE,WOMEN_CHILD_SAFETY,CASE_DIARY,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,HIGH,true,false,false,false,OPEN,EMERGENCY_RESPONSE,UPDATE,deny,DENY_SENSITIVE_UPDATE_WITH_LOW_RANK,none,990c4db8e6fb9888d5e4b9ee,ea7786e09f96824a3fbd29f6f86fbc086df148b438afa2b2a8965d088b088f21,c090073a6d6cc516287e430cfd3e83339d3715c0f05255ac19c283920e23821d,bac6c2608c298bd79cb160d9db67bc7aa2fae3dbde2fd0f170963ae22dde13cc,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000019,2026-05-27T02:13:00Z,Head Constable,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,POLICE,GENERAL_THEFT,COURT_SUBMISSION,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,MEDIUM,false,false,false,false,OPEN,COURT_PRODUCTION,VIEW,allow,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,none,f9d62cf0011e2f4af846a8ea,1672400a0577c8ac45a6bbd628edd27e9e43236294e70297b951d9e3f65347d3,59aa24bd23e42b159883b12e25fc5185f6fab7fa44346fc13362a560fa47affd,acd684221bb306c021dfcdce6ad1d5f76b965578fe23c3e061af012c2230cc44,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000020,2026-05-27T05:00:00Z,Inspector,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,POLICE,FINANCIAL_CRIME,COURT_SUBMISSION,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,MEDIUM,false,false,false,false,SEALED,INVESTIGATION,VIEW,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,none,a5e2220499b8d82e7484afa7,c11086fcbb8ad16a8fe53b2f68a03868c612b7ec2f135f6e8e5e3976a71d22ed,2ebb787f5d90f5e17d37106e584086a87a915ff1384af932063e79482012ac04,0116a129438f5f17e52f0a883f49db745d3cacbfc9d331e8bf6e0b4611344e33,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000021,2026-05-27T05:15:00Z,Constable,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,POLICE,JUVENILE_PROTECTION,VICTIM_RECORD,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,MEDIUM,true,false,true,false,OPEN,INVESTIGATION,VIEW,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,sensitive_record_approval,5b76183de874918c71d2d438,4da089fc077dfa0aaa7b0c147983e7bc75f1a4b3b41df4c1d58e4e455936cb8a,f2fa315febb0cc0997ceaaea2d718cd1dd59cef16686c8d5bb66beaa51c208bb,b52289a23857baf4e5ff5929df4a288851f60f6fcfb6ad36b1c2a6b8fab6377d,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000022,2026-05-27T05:08:00Z,Constable,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,POLICE,VIOLENT_CRIME,CASE_DIARY,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,HIGH,false,false,false,false,OPEN,PROSECUTION_REVIEW,VIEW,escalate,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,cross_jurisdiction_superior_approval,8f59545a2c223fbb06913cd3,314aa9718e2d80a226b1e94a702d08582a7aaba6e78b399306277e00264fbc24,c2e8e75e7c2e0671114d3ac3a988e00024096c989a5782ee0304c222447fc699,4e10fb6c82b81ff12f19bc7bb8b805797f4b2b64b4f87b3abb02f325eb991e8d,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000023,2026-05-27T05:45:00Z,Inspector,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,POLICE,CYBER_FRAUD,FIR_SUMMARY,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,HIGH,false,false,false,false,OPEN,PROSECUTION_REVIEW,VIEW,escalate,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,cross_jurisdiction_superior_approval,7e12945a3038ca1f89e62153,457c3dd168159345b26f36653d9259d9ad509f091af0412e5faffc1e4756ac17,ae19e86d2818b5d05a03300a191d8e8cadcfc0eb1fcfa9ba57b7fbad4b98db79,14bebc66d551baf45981d85fbc08d939eff2b541b0ce3f102b8a60092e1307d7,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000024,2026-05-27T02:48:00Z,Constable,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,POLICE,GENERAL_THEFT,FIR_SUMMARY,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,LOW,false,false,false,false,OPEN,INVESTIGATION,VIEW,allow,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,none,1ac6841b92f2572fe14d7bb8,c88d706dbc65cb2e90311425c4943172939a3c753320b160193b1ba1b11a1bb6,c08167a7a6ae4d6a1be6c12d8f622f604ae0871e832bb694dc9a5b7ed3390931,673d9d77665ebdcb7e0f019de75c3c41c25c9d512ad4fe53a3f8d4ddb9a2da66,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000025,2026-05-27T02:55:00Z,Head Constable,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,POLICE,CYBER_FRAUD,COURT_SUBMISSION,STATE_02_DIST_03_PS_02,STATE_02_DIST_03,CLASSIFIED,false,false,false,false,OPEN,SUPERVISION,VIEW,escalate,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,cross_jurisdiction_superior_approval,a43c50296a2f284be51bfb6b,7712edbf84fd5921f142b39db93eef83a966d02612c6649eaada5d94cf0fa9e8,5dd4a7bedbc407b3009ade9e5155ece66f463d32d55805bcdaaad3c53f9aaf1a,db63a7440de01ec08efd1e8be6e8ce67840f98d5c9331790cad85eac8b104fbb,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000026,2026-05-27T02:10:00Z,Inspector,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,POLICE,WOMEN_CHILD_SAFETY,FIR_SUMMARY,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,MEDIUM,true,false,false,false,OPEN,INVESTIGATION,VIEW,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,sensitive_record_approval,ac48ae61074520a4b3430aee,a222927c0122c0a45911d29593b9337447d13e2c6ecebec9c8569a95a5f54f0c,7e19b89759dced6fdd9a39afa9854c78de3ecf1b3b3e5bf6102b2036b29c41ef,2c19eeb73718a71ad1e70d14785498af013d4a483b9a54c6fc00a22585310537,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000027,2026-05-27T07:39:00Z,Station House Officer,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,POLICE,CYBER_FRAUD,COURT_SUBMISSION,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,MEDIUM,false,false,false,false,OPEN,INVESTIGATION,VIEW,allow,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,none,96b175919704eaf4671dedfd,1e6897ccef5599f9f39e75485c4afd36ac36d98721faaf36368fcbe09df09e87,899315203faaf636e280d5e99ee0493dea065b458ca0b1fe2d87a2774c06ae4f,0448938797da242e6328662aac5183f0b611c6ad83ebee6c5a61b3c12a7f29c9,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000028,2026-05-27T06:04:00Z,Constable,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,POLICE,JUVENILE_PROTECTION,CYBERCRIME_COMPLAINT,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,CLASSIFIED,false,false,true,false,SEALED,INVESTIGATION,VIEW,deny,DENY_STALE_CASE_ASSIGNMENT,none,63606e89c62fe65e3bfec5bc,c57d86828c1cf1d87842d3eb2ed7c3280f586512e0618c8459c57671352a3a48,f6a3c897e21cbd6e798e1bc49bd76064035e7fede9b971043b0e0db8562c79be,ebbb4cb13db4659da948d2624cd8fab405d71997a9491a52cf9195d8863880ad,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000029,2026-05-27T02:54:00Z,Head Constable,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,POLICE,VIOLENT_CRIME,JUVENILE_RECORD,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,HIGH,false,false,true,false,OPEN,EMERGENCY_RESPONSE,APPROVE,deny,DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK,none,324e17d46e6f934f4c8cc38f,2af41eaf92ab735a5f69bab31ead191483386c7fcb6b8888b3215ec39357e900,265d265726c543c78fa8a243be19dad4b68a46ce642ed62a1b6597b8d2197e4b,520a70b7cbf85be766de887e7a14d7c5b94fad95070e46628c3a3d28aa929f38,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000030,2026-05-27T08:30:00Z,Sub-Inspector,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,POLICE,NARCOTICS,COURT_SUBMISSION,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,MEDIUM,false,false,false,false,OPEN,INVESTIGATION,VIEW,allow,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,none,4c7713902dc82a56bd4b53b1,353c82d8e747bdb64a86428374a9646a43ee69cd3d2cfb4c54c387a5f67f4043,6fc477fbe16d080d43ca0adcb307e9dc71eadc3eef4e437b2ab94f416741b57d,312213046a28eb59b0911f26d76707a762950655ba4f4d011068fc89256cf6d3,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000031,2026-05-27T01:33:00Z,Constable,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,POLICE,GENERAL_THEFT,EVIDENCE_MEDIA,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,CLASSIFIED,false,false,false,true,SEALED,INVESTIGATION,APPROVE,deny,DENY_STALE_CASE_ASSIGNMENT,none,bad553a975fe398c21ee2d68,fdfd7c8a925771905fbdc437bc10a4962d73c60ee28f5cebbf7430ab8cf21409,3ed88a2b8786039caf1783a8082482129ada0846e74d7c6b7a96a1e5fb364e9c,78aa850f7ddccbb44a60f183193863c8fa3bd414552142769e61b61963894d4f,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000032,2026-05-27T08:00:00Z,Station House Officer,STATE_02_DIST_03_PS_02,STATE_02_DIST_03,POLICE,MISSING_PERSON,EVIDENCE_MEDIA,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,CLASSIFIED,false,false,false,true,OPEN,TRAINING,VIEW,deny,DENY_TRAINING_PURPOSE_FOR_SENSITIVE_RECORD,none,7e1e335d45bcb4ab7e9ed4b2,042df3e778b2d1e356766b13442685bddecb8fe961b51019ab353faafa94dbbd,54cfef0462820c5c589c9e0f3b404d1d4555db1aab0090af35e48848c0505f29,57a5cc068351445acf7c33a8751bea18ad5a9609238f81c1aeecb89b53d571f4,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000033,2026-05-27T01:39:00Z,Head Constable,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,POLICE,GENERAL_THEFT,WITNESS_STATEMENT,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,CLASSIFIED,false,true,false,false,SEALED,SUPERVISION,DOWNLOAD,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,none,c7a5f4c5d5ff0f6c55d77a23,d3d36a52bd75e1652526cc3aefe477208e77cf7de00d0bd60b24078c65690d51,73b9b624747bbe539f39558e7a2a3915c54c2ab75c27679b059b0d3dfcc75e2b,e18dd19ce768be3492cce9fa43b4196180c6591bdb7e95cbc44bbf39dfbf4535,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000034,2026-05-27T02:50:00Z,Head Constable,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,POLICE,CYBER_FRAUD,WITNESS_STATEMENT,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,MEDIUM,false,true,false,false,OPEN,INVESTIGATION,VIEW,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,sensitive_record_approval,b6062baf2b851e9e9fd94bea,2b6d7963537ed3f91995340384b021aaeb9ac8d9dad0e5fe38cd343ce14a5604,305794109d06e3902bb6b6c7cc85214a66866897e68f23f93f34c0bbd7ed9b94,f04e54c8eab596ec7c769e622f40ad8fa96030334ff1448992d781327fbfe0e9,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000035,2026-05-27T01:10:00Z,Constable,STATE_02_DIST_02_PS_03,STATE_02_DIST_02,POLICE,GENERAL_THEFT,COURT_SUBMISSION,STATE_03_DIST_03_PS_02,STATE_03_DIST_03,HIGH,false,false,false,false,OPEN,INVESTIGATION,VIEW,deny,DENY_STALE_CASE_ASSIGNMENT,none,cd367da0cb59bc370e3d09aa,c2d242740e3470bd37e67732fb7c277aad2bee1b87fa1a35f46742bdd636a17d,a205438d67bad307c53a53d6d4b5c7e374450ea6cd75c8832f56b093c5ffd151,6a60e4725f7de89c4857686fb040020340bbd89336c96809d1d3f95f6bbc3e92,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000036,2026-05-27T03:36:00Z,Prosecutor Liaison,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,PROSECUTION,GENERAL_THEFT,FIR_SUMMARY,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,LOW,false,false,false,false,OPEN,INVESTIGATION,VIEW,allow,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,none,3eff4d63eee5bdeb00e91c71,5da5ad4e0e3288948ad4c6f287bc6a0abeeeb87a5645a4d2a6874c910b3419ea,c96f7917d6e8790567c25279db8cd761f213b3ed9c4b0108d31083d41f8ac6a9,b4830e6ef2531eeefac3fe692982d06919e83223a576d2c30e103543de79ca8d,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
