claim_id,paper_section,research_question,claim_type,claim_text,safe_wording,evidence_artifacts,metric_or_row_filter,claim_strength,limitations,writing_status
C17,Results,RQ3,result,"Grouped NS-PI helps for targeted corruption but misses small target-group corruption.","Grouped NS-PI improves targeted attack detection but still misses 10% target-group corruption in the current benchmark.","results/tables/nspi_targeted_compromised_signer_summary.csv; results/FINDINGS.md","target flip 0.10 any detection=0.0; higher flips improved",strong_for_current_setting,"Not a row-level verifier; targeted sensitivity depends on group size.",allowed
C18,Results,RQ4,result,"XAI traces are complete in the current synthetic evaluation.","The structured XAI trace is complete across the five-seed synthetic evaluation.","results/tables/explanation_audit_quality_summary.csv; results/FINDINGS.md","trace_complete_rate mean=1.0000",strong_for_synthetic_benchmark,"Completeness of generated traces does not prove human usefulness.",allowed
C19,Results,RQ4,result,"Counterfactual explanations are generated for all current deny/escalate target rows.","Counterfactual coverage is complete in the current workload.","results/tables/explanation_audit_quality_summary.csv; results/FINDINGS.md","counterfactual_coverage_rate mean=1.0000",strong_for_synthetic_benchmark,"Generated counterfactuals still need human/domain validation for real use.",allowed
C20,Results,RQ4,result,"Counterfactual validity is high but not perfect.","Counterfactual validity is high in the current benchmark, with a measured mean of 0.9964.","results/tables/explanation_audit_quality_summary.csv; results/FINDINGS.md","counterfactual_validity_rate mean=0.9964129623",strong_for_synthetic_benchmark,"Do not round into perfection; report the measured non-perfect value.",allowed
C21,Results/Risk,RQ4,limitation,"Natural-language explanation text does not mention every decisive attribute in all cases.","Decisive-attribute full text coverage is incomplete and should be reported as an explanation-quality limitation.","results/tables/explanation_audit_quality_summary.csv; results/FINDINGS.md","decisive_attribute_full_text_coverage_rate mean=0.7810",strong_for_current_setting,"This is a weakness unless renderer is improved and rerun.",allowed
C22,Results,RQ4,result,"Audit reconstruction succeeds in the current synthetic benchmark.","Audit reconstruction succeeds across the tested events by joining request records, signed-chain events, block index rows, and block commitments.","results/tables/explanation_audit_quality_summary.csv; results/FINDINGS.md","audit_reconstruction_rate mean=1.0000",strong_for_synthetic_benchmark,"Does not prove production audit reconstruction in CCTNS/ICJS.",allowed
C23,Results,RQ5,result,"Minimized commitment ledger reduces schema-level metadata exposure in the synthetic study.","The minimized commitment ledger reduces the prototype schema-level exposure score compared with full metadata logging.","results/tables/paper_table_03_metadata_exposure.csv; results/tables/offchain_storage_step7_summary.csv","metadata_exposure_score full=1.0000; minimized=0.0000",moderate,"This is not a formal privacy proof and does not measure every side channel.",allowed_with_boundary
C24,Results,RQ5,result,"Local latency and storage overhead have been measured for the prototype components.","The paper can report local prototype latency and storage measurements for policy oracle, mutable log, signed hash chain, and permissioned blockchain-style audit.","results/tables/paper_table_04_latency_storage.csv","component_or_method rows; p50 latency/storage fields",moderate,"Local timings are not production CCTNS/ICJS or Fabric performance.",allowed_with_boundary
C25,Methodology/Results,RQ1,ablation,"Removing policy rule groups changes false-allow/escalation behavior.","Policy ablation shows why contextual rules matter, especially privacy, sealed-record, sensitivity, and jurisdiction checks.","results/tables/paper_table_05_policy_ablation.csv; results/tables/policy_ablation_step8_comparison.csv","false_allow_delta_from_full; accuracy_drop_from_full",strong_for_synthetic_benchmark,"Ablation reflects the synthetic policy design, not official policy.",allowed
C26,Discussion,All,interpretation,"Blockchain alone is insufficient for this research problem.","Blockchain-style audit helps with tamper-evident commitments, but it does not decide whether a validly signed access decision was policy-correct.","results/tables/full_grid_per_attack.csv; papers/final_paper/claim_control_memo.md; results/FINDINGS.md","compromised_signer detection for blockchain_style=0.0",strong_for_synthetic_attack,"Must distinguish ledger integrity from policy correctness.",allowed
C27,Discussion,All,interpretation,"ABAC/PBAC is central, not optional decoration.","Contextual access policy is central because RBAC-only rules produce many false allows in the synthetic workload.","results/tables/paper_table_01_method_comparison.csv; results/tables/paper_table_05_policy_ablation.csv","rbac_mutable_log false_allow_count=656; rbac accuracy=0.2900",strong_for_synthetic_benchmark,"Do not claim exact real-world false-allow rates.",allowed
C28,Discussion,All,interpretation,"XAI is used for audit review, not to make the system automatically trustworthy.","XAI artifacts support reviewability by logging decision traces, reason codes, decisive attributes, counterfactuals, and hashes.","results/tables/explanation_audit_quality_summary.csv; prototype/synthetic_access_sim/policy_oracle.py; results/FINDINGS.md","trace and counterfactual metrics",strong_for_synthetic_benchmark,"No human-subject review study has been conducted.",allowed
C29,Limitations,All,limitation,"The current paper is not a live deployment, real police data, formal cryptography, formal privacy, or production Fabric paper.","The current evidence supports a synthetic benchmark and prototype paper only.","papers/final_paper/claim_control_memo.md; experiments/experiment_plan.md; 08_experiment_plan.md","evidence boundary sections",strong_for_scope,"Keep this limitation visible in abstract, methodology, and limitations.",allowed
C30,Future Work,All,next_step,"Stronger claims require reproduction freeze, artifact-to-claim completion, optional real Fabric validation, and possible explanation renderer improvement.","Before stronger claims, run the reproduction freeze, complete final claim audit, and either improve explanation text coverage or retain the limitation.","papers/final_paper/claim_control_memo.md; reports/iteration/iter_046_claim_control_experiment_docs.md; experiments/experiment_plan.md","next evidence needed",strong_for_planning,"These are planned next steps, not completed new results.",allowed
